Offset(P)            #Ptr   #Hnd Access Name
0x000000003d876408      9      1 RWDrwd \Device\HarddiskVolume2\Users\IEUser\AppData\Local\Google\Chrome\User Data\Default\GPUCache\data_2
0x000000003d876578      1      1 RWDrwd \Device\HarddiskVolume2\Users\IEUser\AppData\Local\Google\Chrome\User Data\Default\GPUCache\data_1
0x000000003d876ec8      1      1 R--r-- \Device\HarddiskVolume2\Windows\Fonts\ariali.ttf
0x000000003d876f80      1      0 R--rwd \Device\HarddiskVolume2\Users\IEUser\Pictures\desktop.ini
0x000000003d877618      3      3 R--r-- \Device\HarddiskVolume2\Windows\Fonts\arialbd.ttf
0x000000003d877e10      1      1 R--rw- \Device\HarddiskVolume2\Program Files\Google\Chrome\Application\54.0.2840.99
0x000000003d8782a8      5      0 R--rwd \Device\HarddiskVolume2\Windows\System32\wups2.dll
0x000000003d878400      9      1 RWDrwd \Device\HarddiskVolume2\Users\IEUser\AppData\Local\Google\Chrome\User Data\Default\GPUCache\data_3
0x000000003d8784b8      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\rstrui.exe.mui
0x000000003d8785f8      2      1 RWDrwd \Device\HarddiskVolume2\Users\IEUser\AppData\Local\Google\Chrome\User Data\Default\GPUCache\data_2
0x000000003d878708      2      1 RWDrwd \Device\HarddiskVolume2\Users\IEUser\AppData\Local\Google\Chrome\User Data\Default\GPUCache\data_0
0x000000003d8791a8      2      1 RWDrwd \Device\HarddiskVolume2\Users\IEUser\AppData\Local\Google\Chrome\User Data\Default\GPUCache\data_3
0x000000003d879428      1      1 RWDrwd \Device\HarddiskVolume2\Users\IEUser\AppData\Local\Google\Chrome\User Data\Default\GPUCache\data_0
0x000000003d87fe40      1      0 RW-rwd \Device\HarddiskVolume2\$ConvertToNonresident
0x000000003d881690      2      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003d883e18      9      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003d884290     10      1 RW-r-- \Device\HarddiskVolume2\Windows\Registration\{02D4B3F1-FD88-11D1-960D-00805FC79235}.{3BCC10FC-7D92-4849-8142-A7C00ED95727}.crmlog
