Offset(P)            #Ptr   #Hnd Access Name
0x00000000030b43a0      8      0 R--rwd \Device\HarddiskVolume2헨
0x0000000003183170      3      0 R--r-d \Device\HarddiskVolume2\Windows\System32\catsrv.dll
0x00000000031839c8     16      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x0000000003183c38      2      1 ------ \Device\NamedPipeƨ쾐
0x0000000003207720      6      0 R--rwd \Device\HarddiskVolume2\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
0x00000000032077d8      1      0 R--rwd \Device\HarddiskVolume2es_internet_explor
0x0000000003231238      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\KernelBase.dll
0x0000000003231620      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\oleaut32.dll
0x00000000032317a0      8      0 R--rwd \Device\HarddiskVolume2iverStore\FileRepository
0x0000000003231a30      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Wldap32.dll
0x0000000003231ae8      1      1 R--rw- \Device\HarddiskVolume2 턔⼀공헸둄rogramData\Microsoft\Device Stage\Task\{07deb856-fc6e-4fb9-8add-d8f2cf8722c9}\pictures.ico
0x00000000032db0a0      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\fveapi.dll
0x00000000032db588      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\fvecerts.dll
0x00000000032dbe40      1      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\setupapi.dll.mui
0x0000000003499240      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wuapi.dll
0x00000000034995d0      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.4940_none_50916076bcb9a742
0x0000000003499720      8      0 ------ \Device\HarddiskVolume2\Windows\System32\C_1256.NLS
0x0000000003499f80      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.4940_none_50916076bcb9a742
0x0000000003572f80      8      0 R--r-- \Device\HarddiskVolume2ȁ؇瑎潦\Windows\System32\ko
0x00000000035a6408      1      1 R--r-- \Device\HarddiskVolume2\Windows\Registration\R00000000000c.clb
0x00000000035a6d58      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\msvcp60.dll
0x00000000036c4150      1      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\KernelBase.dll.mui
0x00000000036c4d58      1      1 R--rw- \Device\HarddiskVolume2ô
0x0000000003710320      3      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00000000037106d8      2      1 R--rwd \Device\HarddiskVolume2鈎怕
0x0000000003710f58      1      1 R--rw- \Device\HarddiskVolume2c3caX86_MICROSOFT-WINDOWS-F..TRUETYPE-LUCIDASANS_31BF3856AD364E35_6.1.7
0x000000000389b4b8      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\SyncCenter.dll
0x000000000389bd58      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\txflog.dll
0x0000000003916240     12      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x0000000003992290      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\cscapi.dll
0x0000000003992348      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2
0x0000000003992558      1      1 R--r-d \Device\HarddiskVolume2\Windows\Fonts\StaticCache.dat
0x0000000003ef5120      3      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x0000000003ef54c8      3      1 R--rwd \Device\HarddiskVolume2\Users\IEUser\AppData\Roaming\Microsoft\SystemCertificates\My
0x0000000003fe0038      1      1 R--r-d \Device\HarddiskVolume2er Data\Default\Extensions\aap
0x0000000003fe0348      4      0 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\advapi32.dll.mui
0x0000000003fe0400      1      1 R--rw- \Device\HarddiskVolume2ice\HarddiskVolume2\Windows\winsxs\FileMaps\program_files_common_files_micro
0x0000000003fe0908      1      1 R--rw- \Device\HarddiskVolume2acfd316aca152d.manifestX86_MICROSOFT-WINDOWS-OBJECT-PICKER_31BF3856AD364E35_
0x000000000490bf80      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2
0x000000000494a1c0     12      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\System.evtx
0x0000000004971d58      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\schannel.dll
0x0000000004971f38      8      0 ------ \Device\HarddiskVolume2\Windows\System32\C_28591.NLS
0x00000000049a12e0      2      0 R--rwd \Device\HarddiskVolume2\Windows\System32\CertEnroll.dll
0x0000000004b46678      5      0 R--rwd \Device\HarddiskVolume2\Windows\System32\twext.dll
0x0000000004b46838      8      0 R--rwd \Device\HarddiskVolume2贗Ͱ贗p
0x0000000004b46ad0      3      0 R--rwd \Device\HarddiskVolume2\Windows\System32\PeerDistSvc.dll
0x0000000004b4c938      1      1 RW---- \Device\HarddiskVolume2\Windows\ServiceProfiles\LocalService\NTUSER.DAT.LOG2
0x0000000004b4c9f0      1      1 RW---- \Device\HarddiskVolume2\Windows\ServiceProfiles\LocalService\NTUSER.DAT.LOG1
0x0000000004b4cca0     16      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x0000000004b4ce60      2      1 RW-r-- \Device\HarddiskVolume2\Windows\ServiceProfiles\LocalService\NTUSER.DAT{6cced2f1-6e01-11de-8bed-001e0bcd1824}.TMContainer00000000000000000002.regtrans-ms
0x0000000004be1038      1      1 -WDr-- \Device\HarddiskVolume2Volume2\Windows\inf\apps.inf
0x0000000004be1f10      6      0 R--r-d \Device\HarddiskVolume2܈x
0x0000000004cba408      4      0 R--r-- \Device\HarddiskVolume2\Windows\System32\sppobjs.dll
0x0000000004cba508     17      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x0000000004e82290      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\winspool.drv
0x0000000004e828f8      3      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wsnmp32.dll
0x0000000004e82eb8      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\msxml6r.dll
0x0000000004ee2d60      6      0 R--r-d \Device\HarddiskVolume2䈹〱㐭㔲ⵅ㙂㘱ㄭ䍆㡄㠲䉄䈳紱
0x00000000052af1c8      4      1 RWDr-d \Device\HarddiskVolume2\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventLog-Application.etl
0x00000000052afb40      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wintrust.dll
0x00000000052e8038      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\framedynos.dll
0x00000000052e81d8      1      1 ------ \Device\Afd᪀蝠
0x000000000535c378      2      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000000535c6e0      5      0 R--r-d \Device\HarddiskVolume2t\test_global.py.encrypt
0x00000000053f1648      4      0 R--r-d \Device\HarddiskVolume2\Windows\System32\winnsi.dll
0x00000000053f1a38      1      1 R--rw- \Device\HarddiskVolume2up\x86_micro'$$_SYSTEM32_IAS_0665534BD047D20D.CDF-MSf0cf0151.cdf-ms
0x000000000540e038      5      0 RW---- \Device\HarddiskVolume2\Users\IEUser\AppData\Local\Microsoft\Windows\WebCache\WebCacheV01.dat
0x000000000542c038     16      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000000542c340      2      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000000542c3f8      6      0 R--rwd \Device\HarddiskVolume2꼻寐둂寘둂ⴈꎇꏂﳀ褠؄؉䵃
0x000000000542c558      1      1 R--rw- \Device\HarddiskVolume2⬍⫩
0x0000000005457628      8      0 RW-rw- \Device\HarddiskVolume27642.manifestX86_MICROSOFT-WINDOWS-I..ER-ENGINE.RESOURCES_31BF3856AD3
0x0000000005457768     10      3 R--r-- \Device\HarddiskVolume2२쾒튐꼽Ђ؆䵃慖
0x0000000005457af0      1      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\imageres.dll.mui
0x000000000546c8c0      1      1 R--rwd \Device\HarddiskVolume2\Windows\System32
0x000000000546cbf8      9      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\oleaccrc.dll.mui
0x0000000005495be8      8      0 R--rwd \Device\HarddiskVolume2č
0x00000000054b2650      3      3 R--r-- \Device\HarddiskVolume2rkServiceAndNoImpersonatio
0x000000000556d1e0      5      0 R--r-d \Device\HarddiskVolume2\Program Files\VMware\VMware Tools\vmacthlp.exe
0x000000000556dc10      6      0 R--r-d \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.4940_none_50916076bcb9a742\msvcp90.dll
0x00000000055aa038      8      0 R--rwd \Device\HarddiskVolume2\Windows\Resources\Ease of Access Themes\classic.theme
0x00000000055aa9c0      2      1 ------ \Device\NamedPipe\eventlog
0x00000000055aaa78      1      1 ------ \Device\NamedPipe\eventlog
0x00000000055aab30      1      1 ------ \Device\NamedPipe\eventlog
0x00000000055be8d8      6      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00000000055bea00      1      0 R--rw- \Device\HarddiskVolume2\Users\IEUser\AppData\Local\Microsoft\Windows\Explorer\thumbcache_idx.db
0x00000000055bed68      8      0 R--rwd \Device\HarddiskVolume2ȁ
0x00000000055c3340      5      0 R--rwd \Device\HarddiskVolume2\Windows\System32\appinfo.dll
0x00000000055c3b70      3      0 R--r-d \Device\HarddiskVolume2\Windows\System32\ncobjapi.dll
0x00000000055c3ce8      1      1 ------ \Device\Afdᰧﶂ歶
0x00000000055ca628      3      0 R--rwd \Device\HarddiskVolume2\Windows\Fonts\segoeuii.ttf
0x000000000563b290      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\hid.dll
0x000000000563b480      3      0 R--r-d \Device\HarddiskVolume2\Windows\System32\xmllite.dll
0x00000000057ef390      2      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00000000057ef640      2      1 ------ \Device\Afd楗慺摲刮獥畯捲獥㘬
0x00000000057efc18      8      0 R--r-d \Device\HarddiskVolume2
0x00000000059fb160     12      1 RWDr-- \Device\HarddiskVolume2\System Volume Information\tracking.log
0x00000000059fb218     14      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00000000059fb388      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.4940_none_50916076bcb9a742
0x00000000059fb618      1      0 R--rw- \Device\HarddiskVolume2㴶퍥Ϩ
0x00000000059fb7d8      4      0 R--r-d \Device\HarddiskVolume2\Windows\System32\prnfldr.dll
0x00000000059fb908      8      0 R--r-- \Device\HarddiskVolume2\Users\IEUser\AppData\Local\Microsoft\Windows\WebCache\V01.log
0x0000000005abe780     15      0 RW-rwd \Device\HarddiskVolume2\$Mft
0x0000000005b52620      4      0 R--rwd \Device\HarddiskVolume2\Windows\System32\ssdpsrv.dll
0x0000000005b528b8      1      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\svchost.exe.mui
0x0000000005c5a118      2      2 R--r-- \Device\HarddiskVolume2贈첓絸꽈ේ坉
0x0000000005e7a2d8      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\msvcrt.dll
0x0000000005e7a730      1      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\wshtcpip.dll.mui
0x0000000005f393d0      1      0 RW---- \Device\HarddiskVolume2\Windows\SoftwareDistribution\DataStore\Logs\edb.log
0x00000000060239b0      1      1 R--rw- \Device\HarddiskVolume2\Windows\System32
0x0000000006239198      2      1 RW-rw- \Device\clfs\Device\HarddiskVolume2\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{6cced2f1-6e01-11de-8bed-001e0bcd1824}.TM
0x00000000063222f8      8      0 R--r-d \Device\HarddiskVolume2ꐾ꼘칹
0x0000000006322a20      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2
0x00000000063d7e18      3      1 R--rwd \Device\HarddiskVolume2\Windows\System32\config\systemprofile\AppData\LocalLow\Microsoft\CryptnetUrlCache\MetaData
0x00000000068ea4b8      1      0 R--rwd \Device\HarddiskVolume2cal\Google\Chrome\User Data\Default\IndexedDBP
0x00000000068eaca0      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\schedcli.dll
0x00000000068ead58      1      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\propsys.dll.mui
0x00000000068f21a0      3      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wscinterop.dll
0x00000000068f2898      2      2 RW-rwd \Device\HarddiskVolume2퀈ꂗἈꈊrs\IEUser\AppData\LocalLow\EmieBrowserModeList\container.dat.encryp
0x00000000069bf378      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\PortableDeviceApi.dll
0x00000000069bf510      2      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00000000069bff80      8      0 R--rwd \Device\HarddiskVolume2᪀蝠
0x0000000006df9640      1      1 R--rw- \Device\HarddiskVolume2da\1.0.0.0_0\_locales\nl
0x0000000006f71600      4      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x0000000006f71830      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2
0x0000000006f71d78      4      4 R--r-- \Device\HarddiskVolume2UsGthrCtrlFltPipeMssGthrPip
0x000000000707b038      2      1 ------ \Device\Afd\Endpoint
